Date,Open,High,Low,Close,Adj Close,Volume,HG=F_dailyReturns,Open_1,High_1,Low_1,Close_1,Adj Close_1,Volume_1,copx_dailyReturns,spread,abs_sprd,HG=F_rolling avg,copx_rolling avg,isSprdPos,signal,axe,leverage,ratio,HG=F_Size,copx_Size,HG=F_Cashflow,copx_Cashflow,HG=F_MTM,copx_MTM,Live Trades,HG=F_PnL,copx_PnL,Total PnL
2024-01-02,3.882499933242798,3.9019999504089355,3.8559999465942383,3.86899995803833,3.86899995803833,879,,37.189998626708984,37.58000183105469,37.11000061035156,37.209999084472656,37.0808219909668,725400,,,,,,0,0,,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-01-03,3.8375000953674316,3.861999988555908,3.8294999599456787,3.8475000858306885,3.8475000858306885,395,-0.0055569585011168154,36.66999816894531,37.11000061035156,36.220001220703125,36.959999084472656,36.831687927246094,365400,-0.006718624191106803,0.001161665689989988,0.001161665689989988,,,1,0,0.0,5,11.614392788745516,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-01-04,3.8550000190734863,3.8559999465942383,3.811500072479248,3.8310000896453857,3.8310000896453857,389,-0.004288497938198299,36.72999954223633,37.040000915527344,36.560001373291016,36.880001068115234,36.75196838378906,232900,-0.0021644485481340237,-0.0021240493900642754,0.0021240493900642754,,,0,0,0.0,5,4.8587082708308245,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-01-05,3.8324999809265137,3.8394999504089355,3.7929999828338623,3.7945001125335693,3.7945001125335693,413,-0.00952753230428538,36.900001525878906,37.439998626708984,36.65999984741211,36.880001068115234,36.75196838378906,160200,0.0,-0.00952753230428538,0.00952753230428538,,,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-01-08,3.796999931335449,3.813499927520752,3.7799999713897705,3.799499988555908,3.799499988555908,406,0.0013176639541592206,36.75,37.189998626708984,36.45000076293945,37.130001068115234,37.0010986328125,168200,0.006778741669184463,-0.005461077715025242,0.005461077715025242,,,0,0,0.0,5,50.27394113508161,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-01-09,3.7874999046325684,3.7880001068115234,3.747999906539917,3.748500108718872,3.748500108718872,409,-0.013422787206381792,36.61000061035156,36.66999816894531,36.36000061035156,36.45000076293945,36.32345962524414,125700,-0.018314039472509425,0.0048912522661276325,0.0048912522661276325,,,1,0,0.0,5,13.267266550233343,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-01-10,3.757999897003174,3.7839999198913574,3.757999897003174,3.7809998989105225,3.7809998989105225,650,0.008670078497812206,36.560001373291016,36.65999984741211,36.349998474121094,36.4900016784668,36.36332321166992,235300,0.0010974187843644234,0.0075726597134477824,0.0075726597134477824,,,1,0,0.0,5,1.2215649910243311,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-01-11,3.7929999828338623,3.7934999465942383,3.7764999866485596,3.7764999866485596,3.7764999866485596,292,-0.001190138159818388,36.68000030517578,36.68000030517578,36.150001525878906,36.560001373291016,36.43307876586914,1958900,0.0019183253385688381,-0.003108463498387226,0.003108463498387226,,,0,0,0.0,5,15.604203261146585,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-01-12,3.7869999408721924,3.7925000190734863,3.740000009536743,3.740000009536743,3.740000009536743,430,-0.009665027734902298,36.970001220703125,37.279998779296875,36.779998779296875,36.86000061035156,36.73203659057617,1725000,0.008205668101525676,-0.017870695836427974,0.017870695836427974,,,0,0,0.0,5,8.367477958483454,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-01-16,3.763000011444092,3.7750000953674316,3.763000011444092,3.7664999961853027,3.7664999961853027,295,0.007085557909354723,36.41999816894531,36.41999816894531,35.61000061035156,35.7400016784668,35.61592483520508,257000,-0.030385211973388615,0.03747076988274334,0.03747076988274334,,,1,0,0.0,5,40.691604602579986,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
