Date,BZ=F_Close,BZ=F_dailyReturns,NG=F_Close,NG=F_dailyReturns,spread,abs_sprd,BZ=F_rolling avg,NG=F_rolling avg,isSprdPos,signal,axe,leverage,ratio,BZ=F_Size,NG=F_Size,BZ=F_Cashflow,NG=F_Cashflow,BZ=F_MTM,NG=F_MTM,Live Trades,BZ=F_PnL,NG=F_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2024-01-03,78.25,0.031097649615654976,2.6679999828338623,0.038940771646164274,-0.007843122030509297,0.007843122030509297,,,0,0,,5,0.04269514211417584,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-04,77.58999633789062,-0.0084345515924521,2.821000099182129,0.05734637081434868,-0.06578092240680078,0.06578092240680078,,,0,0,0.0,5,0.24719592638841942,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-05,78.76000213623047,0.01507933823381924,2.8929998874664307,0.025522788285323283,-0.010443450051504044,0.010443450051504044,,,0,0,0.0,5,0.062171097330187726,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-08,76.12000274658203,-0.03351954441395333,2.9800000190734863,0.03007263566928331,-0.06359218008323664,0.06359218008323664,,,0,0,0.0,5,0.03512293962674669,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-09,77.58999633789062,0.019311528353493035,3.190000057220459,0.0704698110076738,-0.051158282654180764,0.051158282654180764,0.02574545159840274,0.018964733021281734,0,0,0.0,5,0.15002768922012183,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02574545159840274,0.0,0.0,0.0,0,0.0,0.0
2024-01-10,76.80000305175781,-0.01018163839952424,3.0390000343322754,-0.047335429523394534,0.037153791123870294,0.037153791123870294,0.021422609440268008,0.045682804167467964,1,0,0.0,5,0.18396623527517314,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.045682804167467964,0.0,0.0,0.0,0,0.0,0.0
2024-01-11,77.41000366210938,0.007942715965004066,3.0969998836517334,0.01908517560520573,-0.011142459640201663,0.011142459640201663,0.02173855939305322,0.04246499474310206,0,0,0.0,5,0.0961327196831103,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04246499474310206,0.0,0.0,0.0,0,0.0,0.0
2024-01-12,78.29000091552734,0.011368004286101296,3.312999963760376,0.06974494292003408,-0.058376938633932784,0.058376938633932784,0.021138353113330195,0.04823041565275903,0,1,1.0,5,0.25962327709753175,2.0,-5.0,-156.5800018310547,16.56499981880188,0.0,0.0,Opened,-156.5800018310547,16.56499981880188,0.0,0.04823041565275903,173.14500164985657,0.0,0.0,0,0.0,173.14500164985657
2024-01-16,78.29000091552734,0.0,2.9000000953674316,-0.12466039025372477,0.12466039025372477,0.12466039025372477,0.011259945430913357,0.0835811191520164,1,0,-1.0,5,inf,-2.0,5.0,156.5800018310547,-14.500000476837158,0.0,2.0649993419647217,Closed,156.5800018310547,-14.500000476837158,2.0649993419647217,0.0835811191520164,171.08000230789185,2.0649993419647217,0.012070372422887582,0,2.0649993419647217,0.0
2024-01-17,77.87999725341797,-0.005236986298566504,2.869999885559082,-0.010344899593718315,0.005107913295151811,0.005107913295151811,0.00894958606278565,0.07308834932921719,1,0,0.0,5,0.07279487322538092,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.07308834932921719,0.0,0.0,0.0,0,0.0,0.0
