Date,KO_Close,KO_dailyReturns,PEP_Close,PEP_dailyReturns,spread,abs_sprd,KO_rolling avg,PEP_rolling avg,isSprdPos,signal,axe,leverage,ratio,KO_Size,PEP_Size,KO_Cashflow,PEP_Cashflow,KO_MTM,PEP_MTM,Live Trades,KO_PnL,PEP_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2019-01-03,46.63999938964844,-0.006179435619891982,108.26000213623047,-0.009333790761897776,0.0031543551420057936,0.0031543551420057936,,,1,0,,5,3.5060551585739774,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-04,47.56999969482422,0.019939972498846048,110.4800033569336,0.02050619967575429,-0.0005662271769082405,0.0005662271769082405,,,0,0,0.0,5,2.388422518085096,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-07,46.95000076293945,-0.013033402057226029,109.52999877929688,-0.00859888259206043,-0.004434519465165598,0.004434519465165598,,,0,0,0.0,5,1.5391526899931105,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-08,47.47999954223633,0.011288578715322073,110.58000183105469,0.009586442650050264,0.0017021360652718087,0.0017021360652718087,,,1,0,0.0,5,1.9778078647002688,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-09,46.56999969482422,-0.019165961587733538,107.48999786376953,-0.027943605680221473,0.008777644092487935,0.008777644092487935,,,1,0,0.0,5,3.3652214618920775,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-10,47.06999969482422,0.010736525730653312,108.1500015258789,0.006140140247707926,0.0045963854829453865,0.0045963854829453865,,,1,0,0.0,5,1.3140045110741112,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-11,47.34000015258789,0.0057361474296622195,108.16000366210938,9.248392130700722e-05,0.005643663508355212,0.005643663508355212,,,1,0,0.0,5,0.03683700973271579,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-14,47.150001525878906,-0.004013490200603598,107.31999969482422,-0.007766308606176775,0.0037528184055731773,0.0037528184055731773,,,1,0,0.0,5,4.4044470025488245,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-15,47.56999969482422,0.008907702128382544,108.98999786376953,0.015560922229725493,-0.006653220101342949,0.006653220101342949,,,0,0,0.0,5,4.0024244393873465,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-16,46.91999816894531,-0.013664106160371281,108.33999633789062,-0.005963864011552356,-0.0077002421488189254,0.0077002421488189254,,,0,0,0.0,5,1.0078069166872115,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-17,47.060001373291016,0.0029838706267972803,109.22000122070312,0.00812262241608308,-0.0051387517892858,0.0051387517892858,,,0,0,0.0,5,6.317809369538132,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-18,47.61000061035156,0.011687191266694263,110.06999969482422,0.007782443367707836,0.003904747898986427,0.003904747898986427,,,1,0,0.0,5,1.5394890198673559,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-22,47.720001220703125,0.0023104517736058927,109.91000366210938,-0.0014535843841050333,0.003764036157710926,0.003764036157710926,,,1,0,0.0,5,1.449039142338509,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-23,48.27000045776367,0.011525549517838796,110.7300033569336,0.007460646597238885,0.004064902920599911,0.004064902920599911,,,1,0,0.0,5,1.4849192509486198,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-24,47.689998626708984,-0.012015782588653434,109.5,-0.011108130765324131,-0.0009076518233293029,0.0009076518233293029,,,0,0,0.0,5,2.122637004833441,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-25,47.369998931884766,-0.006709995890941456,109.3499984741211,-0.0013698769486658602,-0.005340118942275596,0.005340118942275596,,,0,0,0.0,5,0.47127533400190125,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-28,47.16999816894531,-0.004222097687336723,108.81999969482422,-0.00484681103513962,0.0006247133478028966,0.0006247133478028966,,,1,0,0.0,5,2.6483212881196585,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-29,47.400001525878906,0.0048760518520651885,109.0,0.0016541105098379916,0.003221941342227197,0.003221941342227197,,,1,0,0.0,5,0.7800893486486628,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-30,47.86000061035156,0.009704621722881335,110.81999969482422,0.01669724490664426,-0.006992623183762925,0.006992623183762925,,,0,0,0.0,5,3.9839295538651753,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-01-31,48.130001068115234,0.005641463734233021,112.66999816894531,0.01669372386947865,-0.011052260135245628,0.011052260135245628,,,0,0,0.0,5,6.927138020320365,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-02-01,48.70000076293945,0.011842918806869163,112.19000244140625,-0.004260191136413516,0.01610310994328268,0.01610310994328268,,,1,0,0.0,5,0.828696533342298,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-02-04,49.25,0.011293618653885007,113.08999633789062,0.008022050779029177,0.0032715678748558297,0.0032715678748558297,,,1,0,0.0,5,1.631061147719167,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2019-02-05,49.2599983215332,0.00020301160473512603,112.9000015258789,-0.0016800319936703945,0.0018830435984055205,0.0018830435984055205,,,1,0,0.0,5,18.96689514173538,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
